system   D            wsystem.c:583  maybe_parent_dir                 [   0.00132] Also searching C:\Users\Maroofshahani\Desktop\AllegroProj\
display  D   display_settings.c:191  debug_display_settings           [   0.08977] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08983] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.08988] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08994] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.08999] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09005] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09011] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09019] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09024] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09030] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09035] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09041] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09046] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09052] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09057] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09064] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09069] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09075] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09080] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09086] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09092] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09098] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09103] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09109] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09114] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09121] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09126] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09132] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09137] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09143] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09148] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09154] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09159] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09165] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09170] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09176] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09181] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09187] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09192] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09213] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09219] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09225] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09230] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09237] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09242] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09248] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09253] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09259] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09264] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09271] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.09275] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09282] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.09287] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09293] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.09298] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09304] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.09313] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09320] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.09325] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09331] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.09336] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.09343] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.09348] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09354] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09359] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09365] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09371] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09377] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09382] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09388] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09393] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09400] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09406] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09442] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09447] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09454] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09459] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09466] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09471] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09477] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09482] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09488] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09498] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09504] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09510] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09516] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09521] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09528] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09533] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09548] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09555] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09573] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09580] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09586] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09591] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09598] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09603] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09624] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09630] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09636] Single Buffer requirement not met.
